File: /mntnfs/lee_data1/haoyan/SLP/Singing-Voice-Conversion/model/ckpts/M4Singer/Transformer_eval_conversion/ProSinger/test_132.npy,
 39%|███▉      | 39/100 [01:20<01:36,  1.59s/it]File: Bass-1_荒岛_0000, mapping = 3.2509538271878644
 40%|████      | 40/100 [01:22<01:33,  1.56s/it]File: Bass-2_叫我如何不想他_0009, mapping = 2.4699185977715548
 41%|████      | 41/100 [01:24<01:49,  1.86s/it]File: Bass-2_年少有为_0017, mapping = 2.145467442547318
 42%|████▏     | 42/100 [01:26<01:40,  1.74s/it]File: Bass-2_老男孩_0020, mapping = 2.763739164151976
 43%|████▎     | 43/100 [01:27<01:27,  1.54s/it]File: Bass-2_孤独患者_0021, mapping = 1.9786499396753585
 44%|████▍     | 44/100 [01:30<01:48,  1.94s/it]File: Bass-2_当你老了_0005, mapping = 2.930542214455954
 45%|████▌     | 45/100 [01:31<01:33,  1.70s/it]File: Bass-3_追光者_0014, mapping = 2.405905057613661
 46%|████▌     | 46/100 [01:33<01:47,  1.99s/it]File: Bass-3_落叶归根_0013, mapping = 2.694343886687937
 47%|████▋     | 47/100 [01:35<01:42,  1.93s/it]File: Bass-3_末班车_0026, mapping = 2.006613771734879
 48%|████▊     | 48/100 [01:38<01:46,  2.05s/it]File: Bass-3_像我这样的人_0010, mapping = 2.414881348161259
 49%|████▉     | 49/100 [01:39<01:31,  1.80s/it]File: Bass-3_老男孩_0015, mapping = 2.3112162133400336
 50%|█████     | 50/100 [01:41<01:41,  2.04s/it]File: Soprano-1_山楂树_0019, mapping = 0.5116888275742623
 51%|█████     | 51/100 [01:45<02:08,  2.62s/it]File: Soprano-1_最美中国_0029, mapping = 0.845961224635074
 52%|█████▏    | 52/100 [01:48<02:08,  2.67s/it]File: Soprano-1_锦瑟_0015, mapping = 0.5514072320451762
 53%|█████▎    | 53/100 [01:52<02:16,  2.90s/it]File: Soprano-1_念奴娇赤壁怀古_0005, mapping = 0.6345441641460695
 54%|█████▍    | 54/100 [01:55<02:18,  3.01s/it]File: Soprano-1_最美中国_0029, mapping = 0.845961224635074
 55%|█████▌    | 55/100 [01:58<02:12,  2.94s/it]File: Soprano-2_春风十里_0027, mapping = 0.6685735118389844
 56%|█████▌    | 56/100 [01:59<01:52,  2.56s/it]File: Soprano-2_告白气球_0002, mapping = 0.594502838897872
 57%|█████▋    | 57/100 [02:02<01:51,  2.59s/it]File: Soprano-2_最长的电影_0014, mapping = 0.5388183914691022
 58%|█████▊    | 58/100 [02:04<01:39,  2.37s/it]File: Soprano-2_背对背拥抱_0024, mapping = 0.5331637016506
 59%|█████▉    | 59/100 [02:07<01:40,  2.45s/it]File: Soprano-2_告白气球_0035, mapping = 0.6608671116681424
 60%|██████    | 60/100 [02:08<01:21,  2.04s/it]File: Soprano-3_你把我灌醉_0022, mapping = 0.48706386232007626
 61%|██████    | 61/100 [02:09<01:11,  1.82s/it]File: Soprano-3_小酒窝_0036, mapping = 0.46510482102852363
 62%|██████▏   | 62/100 [02:13<01:31,  2.41s/it]File: Soprano-3_长城谣_0012, mapping = 0.6537323379060972
 63%|██████▎   | 63/100 [02:16<01:42,  2.76s/it]File: Soprano-3_残酷月光_0010, mapping = 0.4449868453603401
 64%|██████▍   | 64/100 [02:18<01:28,  2.45s/it]File: Soprano-3_九儿_0004, mapping = 0.7123615030894073
 65%|██████▌   | 65/100 [02:21<01:26,  2.48s/it]File: Tenor-1_燕窝_0001, mapping = 1.3997197619459856
 66%|██████▌   | 66/100 [02:23<01:20,  2.36s/it]File: Tenor-1_小酒窝_0016, mapping = 0.8707516529594121
 67%|██████▋   | 67/100 [02:26<01:29,  2.70s/it]File: Tenor-1_窗外的天气_0012, mapping = 1.1418099825103087
 68%|██████▊   | 68/100 [02:28<01:16,  2.39s/it]File: Tenor-1_地心_0022, mapping = 0.8488711721285739
 69%|██████▉   | 69/100 [02:30<01:09,  2.23s/it]File: Tenor-1_交换余生_0016, mapping = 0.8165539898009391
 70%|███████   | 70/100 [02:33<01:15,  2.51s/it]File: Tenor-2_孤勇者_0016, mapping = 1.2799747699037765
 71%|███████   | 71/100 [02:35<01:14,  2.56s/it]File: Tenor-2_年少有为_0034, mapping = 1.3731242477352643
 72%|███████▏  | 72/100 [02:38<01:08,  2.46s/it]File: Tenor-2_消愁_0001, mapping = 2.2661074454659285
 73%|███████▎  | 73/100 [02:39<00:58,  2.18s/it]File: Tenor-2_孤勇者_0024, mapping = 0.8600118515731954
 74%|███████▍  | 74/100 [02:41<00:54,  2.10s/it]File: Tenor-2_全世界失眠_0008, mapping = 1.0011286554777847
 75%|███████▌  | 75/100 [02:43<00:49,  1.97s/it]File: Tenor-3_K歌之王_0011, mapping = 0.9136647552742593
 76%|███████▌  | 76/100 [02:46<00:54,  2.27s/it]File: Tenor-3_洋葱_0014, mapping = 0.7664360151236801
 77%|███████▋  | 77/100 [02:49<01:01,  2.66s/it]File: Tenor-3_圣诞结_0001, mapping = 1.3959590472948247
 78%|███████▊  | 78/100 [02:51<00:52,  2.39s/it]File: Tenor-3_人质_0022, mapping = 0.8093938495488611
 79%|███████▉  | 79/100 [02:53<00:45,  2.17s/it]File: Tenor-3_好久不见_0037, mapping = 2.048042101554961
 80%|████████  | 80/100 [02:54<00:40,  2.00s/it]File: Tenor-4_红颜劫_0014, mapping = 1.3238346557282827
 81%|████████  | 81/100 [02:56<00:38,  2.01s/it]File: Tenor-4_宿敌_0002, mapping = 1.278340136734612
 82%|████████▏ | 82/100 [02:58<00:35,  1.95s/it]File: Tenor-4_但愿人长久_0005, mapping = 1.3681466125770148
 83%|████████▎ | 83/100 [03:00<00:32,  1.93s/it]File: Tenor-4_千里之外_0008, mapping = 1.3661343837359818
 84%|████████▍ | 84/100 [03:03<00:35,  2.22s/it]File: Tenor-4_宿敌_0017, mapping = 1.2459727084596453
 85%|████████▌ | 85/100 [03:05<00:31,  2.08s/it]File: Tenor-5_柴米油盐酱醋茶_0005, mapping = 2.285178958955943
 86%|████████▌ | 86/100 [03:06<00:23,  1.71s/it]File: Tenor-5_你的爱_0020, mapping = 1.2506602277011596
 87%|████████▋ | 87/100 [03:08<00:25,  1.93s/it]File: Tenor-5_时间煮雨_0005, mapping = 1.8132960758377086
 88%|████████▊ | 88/100 [03:10<00:22,  1.87s/it]File: Tenor-5_兰亭序_0025, mapping = 1.2928064778777626
 89%|████████▉ | 89/100 [03:12<00:22,  2.02s/it]File: Tenor-5_爱笑的眼睛_0033, mapping = 1.2197353856605058
 90%|█████████ | 90/100 [03:14<00:19,  1.92s/it]File: Tenor-6_故梦_0019, mapping = 1.8363465389607696
 91%|█████████ | 91/100 [03:15<00:15,  1.68s/it]File: Tenor-6_理想三旬_0001, mapping = 1.9014516580886092
 92%|█████████▏| 92/100 [03:17<00:13,  1.64s/it]File: Tenor-6_老男孩_0019, mapping = 1.0397620947371657
 93%|█████████▎| 93/100 [03:19<00:12,  1.86s/it]File: Tenor-6_父亲写的散文诗_0006, mapping = 2.291281070400885
 94%|█████████▍| 94/100 [03:20<00:09,  1.55s/it]File: Tenor-6_十年_0000, mapping = 2.079453396905775
 95%|█████████▌| 95/100 [03:22<00:09,  1.84s/it]File: Tenor-7_越过山丘_0021, mapping = 1.7808859764559253
 96%|█████████▌| 96/100 [03:24<00:07,  1.94s/it]File: Tenor-7_莉莉安_0013, mapping = 1.7253246159473183
 97%|█████████▋| 97/100 [03:26<00:05,  1.72s/it]File: Tenor-7_听海_0024, mapping = 1.0823111995168795
 98%|█████████▊| 98/100 [03:28<00:04,  2.01s/it]File: Tenor-7_老男孩_0002, mapping = 2.0060440239508117
 99%|█████████▉| 99/100 [03:31<00:02,  2.28s/it]File: Tenor-7_送别_0004, mapping = 1.415995587527762
100%|██████████| 100/100 [03:33<00:00,  2.07s/it]100%|██████████| 100/100 [03:33<00:00,  2.13s/it]
